Name,UniqueName,Sum,E02009,E02702,E00083,E01370,E25817,E04779,E01987,E03674,E21606,E00095,E31425,E01824,E05149,E02989,E00474,E01929,E04749,E03041,E01366,E03496,E00619,E05033,E01118,E01780,E01662,E05302,E01619,E02352,E01726,E31723,E00179,E24562,E05477,E02062,E26966,E01848,E00248,E30504,E02761,E04583,E31331,E02409,E02334,E02116,E05073,E01551,E00076,E00233,E22042,E02076,E04025,E05221,E04560,E00745,E04826,E02541,E02439,E05489,E02287,E02865,E02522,E00871,E26124,E00173,E02940,E05055,E01913,E00133,E05379,E05543,E00635,E00644,E02912,E03953,E02587,E02175,E04340,E00891,E00935,E01197,E00397,E03517,E02742,E00547,E02354,E02190,E02699,E05445,E00909,E00149,E04125,E00882,E05736,E05147,E04368,E01490,E31248,E02442,E02459
costofsales,,3330,38,31,38,42,33,,42,,32,46,7,46,38,32,30,42,,,28,38,32,38,42,10,38,42,38,42,42,11,38,32,60,42,37,28,38,11,42,,9,30,38,38,42,38,28,38,38,28,38,38,38,41,46,38,35,18,72,35,28,38,34,38,32,42,40,42,48,28,32,38,38,42,38,38,38,38,42,42,46,28,52,38,34,38,32,18,38,28,,38,38,42,10,38,10,42,52
otherioa,,3254,38,4,38,42,15,30,42,,32,46,1,46,28,20,30,48,54,38,38,38,38,38,42,10,38,38,38,24,42,12,38,36,39,42,20,28,38,,42,44,1,20,26,38,36,38,38,38,38,38,38,30,38,44,46,38,21,15,68,38,38,38,34,38,28,41,40,42,48,28,38,38,28,42,28,20,38,38,42,42,46,28,36,38,42,38,24,10,20,38,38,38,38,24,10,38,8,41,8
extraordinaryloss,extraordinary_loss,3193,38,30,38,20,12,23,40,84,34,46,,46,25,12,30,48,48,38,38,34,38,34,42,10,,36,38,38,42,4,38,29,46,20,11,28,38,,70,37,6,38,37,38,39,62,38,31,38,14,38,11,38,21,46,12,16,11,68,37,31,38,32,38,37,38,40,42,41,19,38,38,50,41,28,27,38,38,42,42,46,28,47,11,39,38,19,15,30,38,38,38,18,23,10,10,5,42,38
incometaxescurrent,,3165,38,16,38,20,33,18,42,44,28,46,7,43,38,32,12,48,54,38,38,20,38,20,42,4,38,42,38,42,24,8,20,36,60,24,37,28,34,15,42,44,9,38,38,20,42,38,38,20,38,34,38,38,19,44,43,38,29,18,40,38,38,20,34,20,20,41,11,24,23,20,38,10,33,42,20,38,38,38,24,24,28,28,64,38,42,38,38,28,37,31,38,38,38,42,8,20,10,42,52
cashandcashequivalents,,3143,28,24,28,32,27,36,32,28,36,36,8,36,53,44,33,36,68,28,28,28,52,53,32,,28,30,28,32,56,8,28,28,46,57,31,20,28,16,32,60,8,28,28,29,32,28,28,28,28,28,28,28,29,36,36,28,29,12,52,28,28,28,26,28,28,32,48,33,36,28,28,28,28,32,28,52,28,28,32,32,37,29,48,52,30,28,28,28,28,52,28,28,28,32,5,28,14,32,52
otherncl,,3008,28,18,38,42,21,30,30,,32,46,1,46,32,,,48,44,38,38,28,38,28,42,3,38,10,38,36,42,12,38,36,34,5,38,18,28,,41,42,,38,6,38,42,38,38,38,32,28,37,3,38,43,40,30,25,,62,34,38,28,34,38,36,32,30,30,48,27,38,38,37,30,38,38,38,36,42,42,32,28,44,30,30,28,38,,38,38,38,38,18,30,9,28,,42,44
land,,3005,38,16,38,42,,30,42,20,32,46,,46,,,30,48,54,20,38,38,38,38,42,10,38,,20,42,42,12,38,36,40,24,38,28,38,16,42,44,,38,,38,42,20,38,38,38,38,38,,38,10,46,38,17,,64,38,20,38,16,38,38,1,40,42,48,20,38,38,38,42,38,20,38,38,24,42,46,28,64,38,42,38,20,,38,20,28,38,,24,9,38,,42,52
investmentsecurities,,2951,38,,38,42,10,30,42,,14,46,,46,33,9,30,48,28,20,38,6,38,38,42,10,38,32,38,24,42,8,20,36,40,42,20,28,38,,42,44,,20,20,38,42,20,38,38,20,20,38,37,38,2,46,20,17,18,68,38,34,38,16,38,38,42,40,42,24,2,38,38,38,42,38,20,38,38,42,42,46,10,64,38,42,38,30,2,20,38,38,38,33,24,4,20,,42,20
othernoi,,2937,38,,38,36,33,28,42,,41,46,7,46,38,18,30,48,54,34,38,38,18,38,,10,28,36,28,,42,11,18,36,60,,37,28,38,,42,44,7,34,38,38,28,38,18,28,38,,28,36,38,44,46,28,25,5,72,38,,38,34,28,38,42,30,18,48,1,38,34,36,42,28,38,,38,42,42,6,28,64,38,30,22,38,28,38,38,,38,38,,10,38,,42,32
valuationdifferenceonavailableforsalesecurities,,2916,19,,42,30,,34,26,34,34,50,,50,23,,29,52,,42,42,4,36,36,36,12,35,8,42,36,44,12,28,32,64,18,,32,9,,46,48,,28,8,7,36,34,42,42,42,42,19,19,26,,44,36,38,,80,42,36,15,28,42,42,32,44,44,47,,33,42,22,2,27,42,32,42,46,46,44,25,40,28,31,13,42,1,32,42,42,42,26,46,,32,,46,50
netchangesofitemsotherthanshareholdersequity,,2891,32,,27,44,21,10,18,53,8,66,,70,39,12,26,55,22,35,28,20,33,26,68,12,33,2,27,39,56,24,31,35,51,46,,9,20,,52,40,,33,27,49,37,32,26,30,29,28,24,29,34,25,59,39,32,,58,27,35,29,29,28,33,36,34,55,35,6,17,19,28,22,29,33,33,35,31,19,60,18,43,22,27,18,30,,15,42,31,29,18,23,,32,,65,24
dividendsincomenoi,,2839,38,3,38,36,10,,,,32,46,,46,9,,,48,13,34,38,,34,38,42,6,38,,38,36,36,9,38,29,52,39,8,26,38,4,42,42,,34,,38,24,38,38,10,34,38,38,,38,2,46,38,23,2,72,38,38,34,34,38,38,2,40,42,48,27,38,34,37,42,38,34,20,38,40,42,40,27,64,38,42,38,30,1,38,38,38,38,,36,8,34,,36,52
othernoe,,2810,38,,38,36,33,30,23,,34,46,3,46,38,18,30,48,54,34,38,31,18,32,,10,28,42,28,,42,11,17,36,52,,37,28,34,,42,44,,38,38,38,37,38,18,28,33,,28,38,38,44,46,28,17,3,72,24,,38,34,28,38,15,30,18,48,,38,34,36,42,28,38,,38,42,42,6,28,64,38,30,22,38,3,38,38,,38,33,,10,38,,42,32
valuationandtranslationadjustments,,2780,26,,42,29,23,25,26,42,16,50,,23,25,,22,52,,42,42,7,34,18,46,12,33,8,40,36,37,12,4,38,64,22,,25,1,,46,48,,20,28,21,36,25,36,25,39,42,19,17,26,27,44,40,38,,80,42,24,21,28,42,37,32,30,44,24,24,16,42,22,10,42,30,25,42,46,38,44,25,40,42,29,25,8,1,32,39,42,37,26,44,,22,,34,50
extraordinaryincome,extraordinary_income,2768,31,6,36,15,19,14,40,51,30,46,,46,5,19,11,48,54,34,35,33,38,37,31,10,6,30,35,9,42,,38,29,33,21,,28,38,,63,30,,38,32,38,24,57,38,25,36,22,34,17,38,32,46,31,14,12,72,29,30,38,21,36,30,26,40,40,42,19,36,38,31,17,21,27,33,35,33,41,45,17,64,9,14,18,26,1,16,38,35,22,5,15,9,4,3,35,32
netincomelosssummaryofbusinessresults,net_incomeloss,2757,29,4,25,29,19,29,20,37,49,37,13,30,46,43,33,36,69,29,15,28,27,46,35,7,29,11,15,39,34,18,28,4,36,44,52,12,23,23,39,51,19,34,22,40,37,29,27,18,29,24,29,29,28,31,45,21,27,,30,29,29,15,29,21,29,36,29,40,38,9,27,12,25,39,15,27,26,28,39,12,61,35,39,13,29,29,18,2,29,26,29,22,22,27,,27,18,37,28
shorttermloanspayable,,2721,38,4,38,42,12,30,15,,,46,,46,,13,7,36,54,38,38,5,38,17,42,10,8,42,38,42,42,5,38,34,60,,38,,38,6,9,32,,38,34,33,42,38,38,38,14,32,38,,38,40,46,38,35,15,72,22,38,34,7,14,38,1,39,,37,12,21,38,7,42,38,35,38,38,42,42,46,28,46,38,,38,28,,38,38,38,38,,,10,28,,42,52
deferredtaxassetsca,,2635,38,4,7,19,33,30,16,,26,34,2,17,38,26,30,48,36,20,10,38,38,38,24,10,20,27,38,42,42,8,20,17,54,28,20,28,32,16,24,24,12,20,20,35,42,20,38,38,20,10,38,29,20,39,46,11,,,64,36,38,37,34,38,38,42,39,42,24,5,38,18,38,42,38,20,20,38,24,24,46,10,64,,42,37,,,36,20,38,10,38,24,,17,12,42,2
longtermloanspayable,,2603,38,,38,42,33,30,,,12,1,2,46,,31,12,45,54,38,37,28,38,27,42,10,36,42,38,42,28,5,38,36,34,,38,,38,16,,32,,38,32,38,42,38,10,28,,38,38,,38,43,46,38,35,,56,22,38,38,13,,38,1,40,,48,28,11,38,38,42,38,38,38,38,,42,46,1,4,38,,38,,,38,38,38,38,28,,8,38,,42,34
provisionforbonuses,,2565,38,,20,42,2,,42,44,46,46,2,46,1,26,30,48,36,38,38,38,38,28,42,,38,13,38,,,2,38,,18,42,35,28,38,16,42,44,12,24,22,4,42,2,,38,38,38,38,21,38,9,46,38,2,2,50,,38,38,34,24,38,,40,6,36,38,38,,1,42,36,38,38,,42,42,32,28,64,38,42,,,10,20,,28,38,37,,10,38,12,,52
incomebeforeminorityinterests,,2428,32,3,29,35,18,27,27,29,39,26,,31,25,25,,35,47,31,13,28,31,25,35,,31,11,12,37,31,10,28,5,,41,40,15,27,,35,49,4,41,19,33,39,20,30,11,33,28,31,31,15,40,43,29,31,3,46,33,30,11,30,27,31,35,29,40,33,2,31,13,29,35,11,31,23,31,35,6,45,,54,9,32,31,14,,31,20,31,23,19,23,,31,,29,
numberofemployees,number_of_employees,2330,20,17,20,30,15,23,30,40,40,40,5,40,28,23,19,30,60,20,20,20,20,28,30,20,20,20,20,30,30,16,20,18,54,36,37,10,20,10,30,30,11,20,20,28,30,20,20,20,20,20,20,20,28,20,30,20,24,,40,20,20,20,20,20,20,30,20,38,30,20,20,20,20,30,20,20,20,20,30,30,46,14,30,20,20,20,20,10,20,20,20,20,20,32,,20,10,30,20
depreciationsegmentinformation,,2132,24,,28,42,,,30,48,,40,,12,34,16,,36,,28,28,21,28,42,24,,24,20,16,,42,24,28,16,,,40,10,32,,28,48,,32,,24,35,24,20,28,16,28,25,30,52,24,48,20,,,56,20,32,16,15,20,,33,24,40,34,27,16,28,20,36,36,24,20,32,24,,90,,,22,,20,20,,20,28,28,24,,26,,16,,30,40
comprehensiveincomesummaryofbusinessresults,,2106,27,,25,22,13,18,22,28,36,27,,26,33,15,,41,44,27,19,25,27,33,30,,27,5,20,28,31,11,24,7,22,23,28,14,18,,31,31,4,25,19,25,25,23,27,21,24,25,27,14,23,29,37,24,18,,24,24,27,10,27,23,27,32,29,29,38,2,25,11,19,31,14,27,18,27,31,12,39,,25,14,27,27,15,,27,26,27,23,19,28,,27,,27,
