Date of download data creation,As of 2016.05.14,Number of data,9900
EDINET Code,Type of Submitter,Listed company / Unlisted company,Consolidated / NonConsolidated,Capital stock,account closing date,Submitter Name,Submitter Name（alphabetic）,Submitter Name（phonetic）,Province,Submitter's industry,Securities Identification Code
"E00063","内国法人・組合","Listed company","Consolidated","5519"," 3.31","飛島建設株式会社","TOBISHIMA CORPORATION","トビシマケンセツカブシキガイシャ","千代田区九段北１丁目１３番５号","Construction","18050"
"E00064","内国法人・組合","Listed company","Consolidated","4000"," 3.31","松井建設株式会社","MATSUI CONSTRUCTION CO., LTD.","マツイケンセツカブシキガイシャ","中央区新川一丁目１７番２２号","Construction","18100"
"E00065","内国法人・組合","Listed company","Consolidated","18293"," 3.31","鉄建建設株式会社","TEKKEN CORPORATION","テッケンケンセツカブシキガイシャ","千代田区三崎町二丁目５番３号","Construction","18150"
"E00066","内国法人・組合","Listed company","Consolidated","7584"," 3.31","東亜道路工業株式会社","TOA ROAD CORPORATION","トウアドウロコウギョウカブシキガイシャ","港区六本木七丁目３番７号","Construction","18820"
"E00067","内国法人・組合","Listed company","Consolidated","12290"," 3.31","日本道路株式会社","THE NIPPON ROAD CO.,LTD.","ニッポンドウロカブシキガイシャ","港区新橋一丁目６番５号","Construction","18840"
"E00069","内国法人・組合","Listed company","Consolidated","3695"," 3.31","株式会社錢高組","THE ZENITAKA CORPORATION","カブシキガイシャゼニタカグミ","大阪市西区西本町二丁目２番１１号","Construction","18110"
"E00070","内国法人・組合","Unlisted company","Consolidated","5468"," 3.31","日鉄住金テックスエンジ株式会社","NIPPON STEEL & SUMIKIN TEXENG.CO.,LTD.","ニッテツスミキンテックスエンジカブシキガイシャ","千代田区丸の内二丁目５番２号","Construction","18190"
"E00073","内国法人・組合","Listed company","Consolidated","3481"," 3.31","株式会社中電工","CHUDENKO CORPORATION","カブシキガイシャチュウデンコウ","広島市中区小網町６番１２号","Construction","19410"
"E00074","内国法人・組合","Listed company","Consolidated","10264"," 3.31","株式会社関電工","KANDENKO CO.,LTD.","カブシキガイシャカンデンコウ","港区芝浦４丁目８番３３号","Construction","19420"
"E00075","内国法人・組合","Listed company","Consolidated","26411"," 3.31","株式会社きんでん","KINDEN CORPORATION","カブシキガイシャキンデン","大阪市北区本庄東二丁目３番４１号","Construction","19440"
"E00076","内国法人・組合","Listed company","Consolidated","7680"," 3.31","株式会社トーエネック","TOENEC CORPORATION","カブシキガイシャトーエネック","名古屋市中区栄一丁目２０番３１号","Construction","19460"
"E00078","内国法人・組合","Listed company","Consolidated","7393"," 6.30","日本工営株式会社","Nippon Koei Co., Ltd.","ニホンコウエイカブシキガイシャ","千代田区麹町５丁目４番地","Services","19540"
"E00079","内国法人・組合","Listed company","Consolidated","2368"," 3.31","徳倉建設株式会社","","トクラケンセツカブシキガイシャ","名古屋市中区錦三丁目１３番５号","Construction","18920"
"E00080","内国法人・組合","Listed company","Consolidated","18976"," 3.31","東亜建設工業株式会社","TOA CORPORATION","トウアケンセツコウギョウカブシキガイシャ","新宿区西新宿三丁目７番１号","Construction","18850"
"E00081","内国法人・組合","Listed company","Consolidated","11374"," 3.31","若築建設株式会社","WAKACHIKU CONSTRUCTION CO.,LTD.","ワカチクケンセツカブシキガイシャ","北九州市若松区浜町１－４－７","Construction","18880"
"E00082","内国法人・組合","Listed company","Consolidated","10683"," 3.31","東洋建設株式会社","TOYO CONSTRUCTION CO.,LTD.","トウヨウケンセツカブシキガイシャ","大阪市中央区高麗橋４丁目１番１号","Construction","18900"
"E00083","内国法人・組合","Listed company","Consolidated","19838"," 3.31","株式会社奥村組","OKUMURA CORPORATION","カブシキガイシャオクムラグミ","大阪市阿倍野区松崎町二丁目２番２号","Construction","18330"
"E00085","内国法人・組合","Listed company","Consolidated","12003"," 3.31","三井住友建設株式会社","Sumitomo Mitsui Construction Co.,Ltd.","ミツイスミトモケンセツカブシキガイシャ","中央区佃二丁目１番６号","Construction","18210"
"E00086","内国法人・組合","Listed company","Consolidated","30449"," 3.31","五洋建設株式会社","PENTA-OCEAN CONSTRUCTION CO.,LTD.","ゴヨウケンセツカブシキガイシャ","文京区後楽二丁目２番８号","Construction","18930"
"E00088","内国法人・組合","Unlisted company","Consolidated","8985"," 3.31","安藤建設株式会社","ANDO Corporation","アンドウケンセツカブシキガイシャ","港区芝浦三丁目１２番８号","Construction",""
"E00090","内国法人・組合","Listed company","Consolidated","57500"," 3.31","株式会社　長谷工コーポレーション","HASEKO Corporation","カブシキガイシャ　ハセコウコーポレーション","港区芝二丁目３２番１号","Construction","18080"
"E00091","内国法人・組合","Listed company","NonConsolidated","275"," 3.31","中央ビルト工業株式会社","CHUO BUILD INDUSTRY CO.,LTD.","チュウオウビルトコウギョウカブシキガイシャ","中央区日本橋富沢町１１番１２号","Metal Products","19710"
"E00092","内国法人・組合","Listed company","Consolidated","2881"," 3.31","株式会社東京エネシス","TOKYO ENERGY & SYSTEMS INC.","カブシキガイシャトウキョウエネシス","中央区日本橋茅場町一丁目３番１号","Construction","19450"
"E00093","内国法人・組合","Listed company","Consolidated","4324"," 3.31","大末建設株式会社","DAISUE CONSTRUCTION CO., LTD.","ダイスエケンセツカブシキガイシャ","大阪市中央区久太郎町二丁目５番２８号","Construction","18140"
"E00094","内国法人・組合","Listed company","Consolidated","6888"," 3.31","株式会社協和エクシオ","KYOWA EXEO CORPORATION","カブシキガイシャキョウワエクシオ","渋谷区渋谷三丁目２９番２０号","Construction","19510"
"E00095","内国法人・組合","Listed company","Consolidated","5100"," 3.31","大豊建設株式会社","DAIHO CORPORATION","ダイホウケンセツカブシキガイシャ","中央区新川一丁目２４番４号","Construction","18220"
"E00097","内国法人・組合","Listed company","Consolidated","5000"," 3.31","株式会社不動テトラ","Fudo Tetra Corporation","カブシキガイシャフドウテトラ","中央区日本橋小網町７番２号","Construction","18130"
"E00098","内国法人・組合","Listed company","Consolidated","6119"," 3.31","ライト工業株式会社","RAITO KOGYO CO., LTD.","ライトコウギョウカブシキガイシャ","千代田区九段北４－２－３５","Construction","19260"
"E00099","内国法人・組合","Listed company","Consolidated","635"," 3.31","鈴縫工業株式会社","SUZUNUI CORPORATION","スズヌイコウギョウカブシキガイシャ","日立市城南町１丁目１１番３１号","Construction","18460"
"E00101","内国法人・組合","Listed company","NonConsolidated","310"," 3.31","サンユー建設株式会社","SANYU CONSTRUCTION CO.,LTD.","サンユーケンセツカブシキガイシャ","大田区南雪谷２丁目１７番８号","Construction","18410"
"E00105","内国法人・組合","Listed company","Consolidated","5061"," 3.31","株式会社ナカノフドー建設","NAKANO CORPORATION","カブシキガイシャナカノフドーケンセツ","千代田区九段北４丁目２番２８号","Construction","18270"
"E00107","内国法人・組合","Listed company","Consolidated","8105"," 3.31","三機工業株式会社","SANKI ENGINEERING CO.,LTD.","サンキコウギョウカブシキガイシャ","中央区明石町８番１号","Construction","19610"
"E00109","内国法人・組合","Listed company","NonConsolidated","1980"," 3.31","三晃金属工業株式会社","Sanko Metal Industrial Co., Ltd.","サンコウキンゾクコウギョウカブシキガイシャ","港区芝浦４丁目１３番２３号","Construction","19720"
"E00111","内国法人・組合","Unlisted company","Consolidated","1086"," 3.31","大和小田急建設株式会社","Daiwa Odakyu Construction Co.,Ltd.","ダイワオダキュウケンセツカブシキガイシャ","新宿区西新宿４丁目３２番２２号","Construction","18340"
"E00112","内国法人・組合","Listed company","Consolidated","2810"," 3.31","東鉄工業株式会社","TOTETSU KOGYO CO.,LTD.","トウテツコウギョウカブシキガイシャ","新宿区信濃町３４番地","Construction","18350"
"E00113","内国法人・組合","Listed company","Consolidated","4000"," 3.31","太平電業株式会社","TAIHEI DENGYO KAISHA,LTD.","タイヘイデンギョウカブシキガイシャ","千代田区神田神保町二丁目４番地","Construction","19680"
"E00114","内国法人・組合","Listed company","Consolidated","6440"," 3.31","住友電設株式会社","SUMITOMO DENSETSU CO.,LTD.","スミトモデンセツカブシキガイシャ","大阪市西区阿波座２丁目１番４号","Construction","19490"
"E00115","内国法人・組合","Listed company","Consolidated","8494"," 3.31","日本電設工業株式会社","NIPPON DENSETSU KOGYO CO.,LTD","ニッポンデンセツコウギョウカブシキガイシャ","台東区池之端一丁目２番２３号","Construction","19500"
"E00116","内国法人・組合","Listed company","Consolidated","1120"," 3.31","技研興業株式会社","Giken Kogyo CO.,LTD","ギケンコウギョウカブシキガイシャ","杉並区阿佐谷南三丁目７番２号","Construction","97640"
"E00117","内国法人・組合","Listed company","NonConsolidated","4321"," 3.31","株式会社イチケン","ICHIKEN Co., Ltd.","カブシキガイシャイチケン","港区芝浦一丁目１番１号","Construction","18470"
"E00118","内国法人・組合","Listed company","Consolidated","2000"," 3.31","南海辰村建設株式会社","Nankai Tatsumura Construction Co., Ltd.","ナンカイタツムラケンセツカブシキガイシャ","大阪市浪速区難波中三丁目５番１９号","Construction","18500"
"E00119","内国法人・組合","Listed company","Consolidated","6176"," 3.31","中外炉工業株式会社","Chugai Ro Co.,Ltd.","チュウガイロコウギョウカブシキガイシャ","大阪市中央区平野町３丁目６番１号","Construction","19640"
"E00120","内国法人・組合","Listed company","Consolidated","8419"," 3.31","株式会社淺沼組","ASANUMA CORPORATION","カブシキガイシャアサヌマグミ","大阪市浪速区湊町一丁目２番３号　マルイト難波ビル","Construction","18520"
"E00121","内国法人・組合","Listed company","Consolidated","1886"," 3.31","佐田建設株式会社","Sata Construction Co.,Ltd.","サタケンセツカブシキガイシャ","前橋市元総社町一丁目１番地の７","Construction","18260"
"E00124","内国法人・組合","Unlisted company","NonConsolidated","909"," 3.31","和興エンジニアリング株式会社","WAKO ENGINEERING CORP.","ワコウエンジニアリングカブシキガイシャ","大田区平和島四丁目１番２３号","Construction",""
"E00127","内国法人・組合","Listed company","Consolidated","1493"," 3.31","日本電通株式会社","NIPPON DENTSU CO.,LTD.","ニッポンデンツウカブシキガイシャ","大阪市港区磯路２丁目２１番１号","Construction","19310"
"E00129","内国法人・組合","Listed company","Consolidated","5676"," 3.31","ＮＤＳ株式会社","NDS CO.,LTD.","エヌディエスカブシキガイシャ","名古屋市中区千代田二丁目１５番１８号","Construction","19560"
"E00130","内国法人・組合","Listed company","Consolidated","1640"," 3.31","株式会社　森組","Mori-Gumi Co.,Ltd.","カブシキガイシャ　モリグミ","大阪市中央区道修町４丁目５番１７号","Construction","18530"
"E00133","内国法人・組合","Listed company","Consolidated","1000","12.31","金下建設株式会社","The Kaneshita Construction Co.,Ltd.","カネシタケンセツカブシキガイシャ","宮津市字須津４７１番地の１","Construction","18970"
"E00135","内国法人・組合","Unlisted company","Consolidated","1091"," 3.31","新生テクノス株式会社","shinsei technos co., ltd.","シンセイテクノスカブシキガイシャ","港区芝公園二丁目４番１号","Construction",""
"E00137","内国法人・組合","Listed company","Consolidated","7803"," 3.31","株式会社ユアテック","YURTEC CORPORATION","カブシキガイシャユアテック","仙台市宮城野区榴岡４丁目１番１号","Construction","19340"
"E00138","内国法人・組合","Listed company","Consolidated","5000"," 3.20","株式会社ヤマト","YAMATO CORPORATION","カブシキガイシャヤマト","前橋市古市町１１８番地","Construction","19670"
"E00142","内国法人・組合","Listed company","Consolidated","6052"," 3.31","日特建設株式会社","NITTOC CONSTRUCTION CO.,LTD.","ニットクケンセツカブシキガイシャ","中央区東日本橋３丁目１０番６号","Construction","19290"
"E00143","内国法人・組合","Listed company","Consolidated","202591"," 1.31","積水ハウス株式会社","Sekisui House,Ltd.","セキスイハウスカブシキガイシャ","大阪市北区大淀中一丁目１番８８号","Construction","19280"
"E00144","内国法人・組合","Unlisted company","Consolidated","300"," 3.31","松尾建設株式会社","matsuo construction co.,ltd.","マツオケンセツカブシキガイシャ","佐賀市八幡小路１番１０号","Construction",""
"E00146","内国法人・組合","Listed company","Consolidated","7901"," 3.31","株式会社九電工","KYUDENKO CORPORATION","カブシキガイシャキュウデンコウ","福岡市南区那の川一丁目２３番３５号","Construction","19590"
"E00147","内国法人・組合","Listed company","Consolidated","23001"," 3.31","戸田建設株式会社","TODA CORPORATION","トダケンセツカブシキガイシャ","中央区京橋１－７－１","Construction","18600"
"E00148","内国法人・組合","Listed company","Consolidated","6808"," 3.31","矢作建設工業株式会社","YAHAGI CONSTRUCTION CO.,LTD.","ヤハギケンセツコウギョウカブシキガイシャ","名古屋市東区葵三丁目１９番７号","Construction","18700"
"E00149","内国法人・組合","Listed company","Consolidated","13134"," 3.31","高砂熱学工業株式会社","Takasago Thermal Engineering Co., Ltd.","タカサゴネツガクコウギョウカブシキガイシャ","新宿区新宿六丁目２７番３０号","Construction","19690"
"E00153","内国法人・組合","Listed company","Consolidated","3857"," 3.31","株式会社朝日工業社","ASAHI KOGYOSHA CO.,LTD.","カブシキガイシャアサヒコウギョウシャ","港区三田三丁目１３番１２号","Construction","19750"
"E00156","内国法人・組合","Listed company","Consolidated","6293"," 3.31","大林道路株式会社","OBAYASHI ROAD CORPORATION","オオバヤシドウロカブシキカイシャ","千代田区猿楽町二丁目８番８号","Construction","18960"
"E00157","内国法人・組合","Listed company","Consolidated","9812"," 3.31","都築電気株式会社","TSUZUKI DENKI CO., LTD.","ツヅキデンキカブシキガイシャ","港区新橋六丁目１９番１５号","Wholesale Trade","81570"
"E00161","内国法人・組合","Listed company","Consolidated","6889"," 3.31","明星工業株式会社","MEISEI INDUSTRIAL Co.,Ltd.","メイセイコウギョウカブシキガイシャ","大阪市西区京町堀１丁目８番５号","Construction","19760"
"E00165","内国法人・組合","Listed company","Consolidated","2000"," 3.31","株式会社ＲＩＳＥ","RISE Inc.","カブシキガイシャライズ","千代田区神田神保町二丁目３番地１　岩波書店アネックス６階","Real Estate","88360"
"E00167","内国法人・組合","Listed company","Consolidated","1751"," 3.31","株式会社佐藤渡辺","WATANABE SATO CO., LTD.","カブシキガイシャサトウワタナベ","港区南麻布一丁目１８番４号","Construction","18070"
"E00168","内国法人・組合","Listed company","Consolidated","5753"," 3.31","日比谷総合設備株式会社","Hibiya Engineering,Ltd.","ヒビヤソウゴウセツビカブシキガイシャ","港区芝浦四丁目２番８号","Construction","19820"
"E00169","内国法人・組合","Unlisted company","Consolidated","50000","12.31","株式会社竹中工務店","TAKENAKA CORPORATION","カブシキガイシャタケナカコウムテン","大阪市中央区本町四丁目１番１３号","Construction",""
"E00170","内国法人・組合","Listed company","Consolidated","9068"," 2.the end of the month","株式会社ヤマダ・エスバイエルホーム","YAMADA SXL HOME CO.,LTD.","カブシキガイシャヤマダエスバイエルホーム","大阪市北区天満橋１－８－３０　ＯＡＰタワー５階","Construction","19190"
"E00173","内国法人・組合","Listed company","Consolidated","1190"," 3.31","株式会社サンテック","Sanyo Engineering & Construction Inc.","カブシキガイシャサンテック","千代田区二番町３番地１３","Construction","19600"
"E00174","内国法人・組合","Listed company","Consolidated","5000"," 3.31","青木あすなろ建設株式会社","Asunaro Aoki Construction Co.,Ltd.","アオキアスナロケンセツカブシキガイシャ","港区芝四丁目８－２","Construction","18650"
"E00175","内国法人・組合","Listed company","Consolidated","9116"," 3.31","北野建設株式会社","KITANO CONSTRUCTION CORP.","キタノケンセツカブシキガイシャ","長野市県町５２４番地","Construction","18660"
"E00176","内国法人・組合","Listed company","Consolidated","2000"," 3.31","世紀東急工業株式会社","SEIKITOKYU KOGYO CO.,LTD.","セイキトウキュウコウギョウカブシキガイシャ","港区芝公園二丁目９番３号","Construction","18980"
"E00177","内国法人・組合","Unlisted company","Consolidated","1098"," 9.30","池野通建株式会社","IKENO TSUKEN CO.,Ltd.","イケノツウケンカブシキガイシャ","北区岸町１丁目９番４号","Construction",""
"E00178","内国法人・組合","Listed company","NonConsolidated","7002"," 3.31","日成ビルド工業株式会社","NISSEI BUILD KOGYO CO.,LTD.","ニッセイビルドコウギョウカブシキガイシャ","金沢市金石北３丁目１６番１０号","Construction","19160"
"E00179","内国法人・組合","Listed company","Consolidated","5315"," 3.31","株式会社植木組","UEKI  CORPORATION","カブシキガイシャウエキグミ","柏崎市新橋２番８号","Construction","18670"
"E00181","内国法人・組合","Listed company","Consolidated","3451"," 3.31","株式会社四電工","YONDENKO CORPORATION","カブシキガイシャヨンデンコウ","高松市花ノ宮町２丁目３番９号","Construction","19390"
"E00182","内国法人・組合","Listed company","NonConsolidated","1310"," 3.31","神田通信機株式会社","KANDA TSUSHINKI CO.,LTD.","カンダツウシンキカブシキガイシャ","千代田区神田富山町２４番地","Construction","19920"
"E00183","内国法人・組合","Listed company","Consolidated","6455"," 3.31","株式会社大気社","Taikisha Ltd.","カブシキガイシャタイキシャ","新宿区西新宿八丁目１７番１号","Construction","19790"
"E00184","内国法人・組合","Listed company","Consolidated","1600"," 3.31","西部電気工業株式会社","Seibu Electric Industry Co.,Ltd.","セイブデンキコウギョウカブシキガイシャ","福岡市博多区博多駅東三丁目７番１号","Construction","19370"
"E00185","内国法人・組合","Listed company","Consolidated","1430"," 3.31","日本リーテック株式会社","NIPPON RIETEC CO.,LTD.","ニッポンリーテックカブシキガイシャ","千代田区神田錦町一丁目６番地","Construction","19380"
"E00186","内国法人・組合（有価証券報告書等の提出義務者以外）","","","1835","","アタカ大機株式会社","","アタカダイキカブシキガイシャ","大阪市此花区西九条五丁目３番２８号","Others",""
"E00187","内国法人・組合","Listed company","Consolidated","1004"," 3.31","日建工学株式会社","NIKKEN KOGAKU CO., LTD.","ニッケンコウガクカブシキガイシャ","新宿区西新宿６丁目１０番１号","Services","97670"
"E00189","内国法人・組合","Listed company","NonConsolidated","590"," 3.31","株式会社協和日成","KYOWANISSEI CO.,LTD.","カブシキガイシャキョウワニッセイ","渋谷区神南一丁目８番１０号","Construction","19810"
"E00191","内国法人・組合","Listed company","Consolidated","4104"," 3.31","シーキューブ株式会社","C-CUBE Corporation","シーキューブカブシキガイシャ","名古屋市中区門前町１番５１号","Construction","19360"
"E00193","内国法人・組合","Listed company","Consolidated","2847"," 3.31","株式会社ＴＴＫ","TTK Co., Ltd.","カブシキガイシャティティケイ","仙台市若林区新寺１丁目２番２３号","Construction","19350"
"E00194","内国法人・組合","Listed company","Consolidated","4479"," 3.31","ダイダン株式会社","DAI-DAN CO.,LTD.","ダイダンカブシキガイシャ","大阪市西区江戸堀１丁目９番２５号","Construction","19800"
